Nguyễn Hữu Sơn,0,Tiền vệ,172,65,9/27/1996,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002255_NguyenHuuSon_77-150x150.jpg
Nguyễn Tuấn Anh,0,Tiền vệ,171,61,7/7/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_79_NguyenTuanAnh_VN001684-150x150.png
Phạm Hoài Dương,0,Hậu vệ,180,70,6/19/1994,https://vpf.vn/wp-content/uploads/2020/01/HPFC_91_PhamHoaiDuong_VN0000286-150x150.jpg
Triệu Việt Hưng,0,Tiền vệ,171,70,1/19/1997,https://vpf.vn/wp-content/uploads/2020/01/HPFC_97_TrieuVietHung_VN0000287-150x150.jpg
Nguyễn Văn Minh,0,Tiền vệ,169,58,2/8/1999,https://vpf.vn/wp-content/uploads/2019/04/HPFC_VN0000488_NguyenVanMinh_29-150x150.png
Dương Văn Lợi,0,Thủ môn,177,73,12/2/2000,https://vpf.vn/wp-content/uploads/2022/02/1.-DƯƠNG-VĂN-LỢI-150x150.jpg
Lê Văn Sơn,0,Hậu vệ,169,64,12/20/1996,https://vpf.vn/wp-content/uploads/2022/02/2.-LÊ-VĂN-SƠN-150x150.jpg
Nguyễn Hữu Anh Tài,0,Hậu vệ,172,69,2/28/1996,https://vpf.vn/wp-content/uploads/2018/12/HAGL_5_NguyenHuuAnhTai_VN001689-150x150.jpg
Trần Thanh Sơn,0,Tiền vệ,175,71,12/30/1997,https://vpf.vn/wp-content/uploads/2018/12/HAGL_6_TranThanhson_VN001691-150x150.jpg
Châu Ngọc Quang,0,Tiền vệ,170,63,2/1/1996,https://vpf.vn/wp-content/uploads/2018/12/HAGL_8_ChauNgocQuang_VN001695-150x150.jpg
Đinh Thanh Bình,0,Tiền đạo,177,72,3/19/1998,https://vpf.vn/wp-content/uploads/2018/12/HAGL_9_DinhThanhBinh_VN0001155-150x150.jpg
